"_id","category"
"1","[None]"
"2","Aisle 1"
"3","Aisle 2"
"4","Aisle 3"
"5","Aisle 4"
"6","Aisle 5"
"7","Produce"
"8","Dairy"
"9","Meats"
"10","Bakery"
